N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PERCISION,F1,RECALL_WO_O,PERCISION_WO_O,F1_WO_O
Model1,500,1,1,0.87941283513284,0.8358688251866007,0.8516018130524586,0.4510739856801909,0.6735348403842424,0.5344839364062033
Model2,500,2,1,0.8854785878927575,0.8438768913046594,0.8627872778994803,0.535799522673031,0.6596906791621235,0.5853199191822349
Model3,500,3,1,0.8789275749120465,0.8461702485010012,0.8601877071071353,0.5190930787589498,0.6516354073972854,0.573688386252108
Model4,500,1,2,0.8889967244935096,0.8472808085244528,0.8664984130210017,0.5393794749403341,0.6481236033071457,0.5863732942821813
Model5,500,2,2,0.8982166686885843,0.8602879540197033,0.8778670624227162,0.5739856801909308,0.6641014172851781,0.613498047750278
Model6,500,3,2,0.9000363945165595,0.8613700580645212,0.8786076090281522,0.5542959427207638,0.6652798200055083,0.6015858566580907
Model7,800,1,2,0.879048889967245,0.8545022176189939,0.8647372615006156,0.5859188544152745,0.6543385473007044,0.6127279956280856
Model8,800,2,2,0.8949411621982288,0.8556774134672388,0.8745047603990964,0.5835322195704057,0.6636898128377142,0.6201745715479854
Model9,800,3,2,0.8976100934125925,0.8564848214783941,0.8755157336767688,0.5572792362768496,0.6608702798720936,0.6029372146229242
