N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PERCISION,F1,RECALL_WO_O,PERCISION_WO_O,F1_WO_O
Model1,800,3,2,0.8376804561446075,0.8030969439484656,0.8192410597930756,0.4158711217183771,0.5437210066417292,0.46899904613855553
Model2,800,3,2,0.8295523474463181,0.8091800394203336,0.8175612324826927,0.4510739856801909,0.496793807403451,0.46661620533908327
Model3,800,3,2,0.8228800194104088,0.811425982996292,0.8106916455682066,0.4051312649164678,0.4885851091079603,0.41695793189995933
Model4,800,3,2,0.8706781511585587,0.848468323585689,0.8575551324357964,0.5536992840095465,0.6161548289133777,0.5776462180534228
Model5,800,3,2,0.8538153584859881,0.8476155905916681,0.8457757884649664,0.5930787589498807,0.5772713190642641,0.5782020966332312
Model6,800,3,2,0.8711634113793522,0.8459535032395258,0.8570682487004891,0.5626491646778043,0.5834941459294872,0.5711407019786773
Model7,800,3,2,0.8580613854179303,0.8460123331598483,0.8492825791315348,0.5698090692124105,0.5821124579212192,0.5730828960292748
Model8,800,3,2,0.8726191920417323,0.8451699236843331,0.8572665779942659,0.5369928400954654,0.5952870247802222,0.5610096474344028
Model9,800,3,2,0.8739536576489142,0.8493688192392528,0.8599938242837791,0.5525059665871122,0.6032923653999648,0.5732511318287157
